uniqueid,thumbnail_count,visit_count,play_count,impression_count,event_count_avon_on,event_count_cilt,event_count_finished,event_count_makyaj,event_count_parfum,event_count_replay,event_count_siparis,first_thumbnail_at,last_thumbnail_at,first_visited_at,last_visited_at,first_played_at,last_played_at,first_impression_at,last_impression_at,first_received_at_avon_on,last_received_at_avon_on,first_received_at_cilt,last_received_at_cilt,first_received_at_finished,last_received_at_finished,first_received_at_makyaj,last_received_at_makyaj,first_received_at_parfum,last_received_at_parfum,first_received_at_replay,last_received_at_replay,first_received_at_siparis,last_received_at_siparis
70905276,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
70966125,1,,,,,,,,,,,2025-03-07 11:00:00,2025-03-07 11:00:00,,,,,,,,,,,,,,,,,,,,
15198555,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
3375905,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
14409328,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
32679926,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
70883237,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
70868453,1,,,,,,,,,,,2025-03-07 12:00:00,2025-03-07 12:00:00,,,,,,,,,,,,,,,,,,,,
70940223,1,,,,,,,,,,,2025-03-07 10:00:00,2025-03-07 10:00:00,,,,,,,,,,,,,,,,,,,,
70815360,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
21191077,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
20463034,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
70942126,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
30024265,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
70963814,1,,,,,,,,,,,2025-03-07 10:00:00,2025-03-07 10:00:00,,,,,,,,,,,,,,,,,,,,
29402482,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
32868810,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
5742243,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
26777635,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
70961920,1,,,,,,,,,,,2025-03-07 10:00:00,2025-03-07 10:00:00,,,,,,,,,,,,,,,,,,,,
11981196,1,,,,,,,,,,,2025-03-08 10:00:00,2025-03-08 10:00:00,,,,,,,,,,,,,,,,,,,,
33199914,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
70961476,1,,,,,,,,,,,2025-03-07 10:00:00,2025-03-07 10:00:00,,,,,,,,,,,,,,,,,,,,
70936003,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
1715236,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
70850020,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
70833565,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
70904477,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
33493759,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
17025515,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
24823792,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
15330379,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
27229687,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
28309540,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
70854272,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
12664747,1,,,,,,,,,,,2025-03-07 10:00:00,2025-03-07 10:00:00,,,,,,,,,,,,,,,,,,,,
70863307,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
32867980,1,,,,,,,,,,,2025-03-07 14:00:00,2025-03-07 14:00:00,,,,,,,,,,,,,,,,,,,,
5326356,1,,,,,,,,,,,2025-03-08 6:00:00,2025-03-08 6:00:00,,,,,,,,,,,,,,,,,,,,
70959605,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
1246340,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
70886895,1,,,,,,,,,,,2025-03-07 11:00:00,2025-03-07 11:00:00,,,,,,,,,,,,,,,,,,,,
